numbers,Fe-Fe bond,Fe-C bond,1-fold,2-fold,3-fold,4-fold,5-fold,location,ads,ads(mass),Eb(eV)
1,2.423905486,2.280688909,1,0,0,0,0,0,8,16,-2.439220257
2,2.429494074,2.275694909,1,0,1,0,0,0,8,16,-3.058098712
3,2.443126242,2.293694168,2,0,1,0,0,0,8,16,-3.059930107
4,2.448458119,2.269838396,1,1,2,0,0,0,8,16,-3.548700621
5,2.427420004,2.252653686,1,1,3,0,0,0,8,16,-3.549908187
6,2.44312624,2.255560901,1,2,3,0,0,0,8,16,-3.536595173
7,2.457590281,2.26584327,1,3,3,0,0,0,8,16,-3.588217071
8,2.456397019,2.270106301,1,4,3,0,0,0,8,16,-3.569174799
9,2.468232061,2.302448091,1,4,4,0,0,0,8,16,-3.531434722
10,2.452240069,2.279765215,1,5,4,0,0,0,8,16,-3.543644129
11,2.446971999,2.25628635,1,5,5,0,0,0,8,16,-3.475054545
12,2.459464797,2.272269906,1,6,5,0,0,0,8,16,-3.461890772
13,2.465574277,2.30557222,1,6,6,0,0,0,8,16,-3.468835499
14,2.462367479,2.307499471,2,6,6,0,0,0,8,16,-3.431141506
15,2.471834115,2.275025796,2,6,7,0,0,0,8,16,-3.357810467
16,2.479975739,2.271774727,2,6,8,0,0,0,8,16,-3.366482473
17,2.47857612,2.299761524,2,7,8,0,0,0,8,16,-3.36570225
18,2.498205417,2.272169958,2,7,8,0,1,0,8,16,-3.313604256
19,2.496182527,2.29493324,2,8,9,0,0,0,8,16,-3.32207222
20,2.504478579,2.317029584,2,8,10,0,0,0,8,16,-3.280622865
1,2.445034879,2.286203717,1,0,0,0,0,0,8,16,-2.359963276
2,2.442796657,2.273101133,1,1,0,0,0,0,8,16,-2.961268362
3,2.44062453,2.283584026,1,1,1,0,0,0,8,16,-3.168768488
4,2.441739049,2.299454823,1,2,1,0,0,0,8,16,-3.340702967
5,2.442757456,2.2521803,1,2,2,0,0,0,8,16,-3.407214383
6,2.445004411,2.261680031,2,2,2,0,0,0,8,16,-3.233146573
7,2.454273431,2.253085524,3,2,2,0,0,0,8,16,-3.161022126
8,2.457095976,2.259178902,4,2,2,0,0,0,8,16,-3.125123224
9,2.457692451,2.300512406,4,2,3,0,0,0,8,16,-3.188503624
10,2.450048988,2.27225908,4,1,5,0,0,0,8,16,-3.270969759
11,2.445252699,2.270857621,4,0,7,0,0,0,8,16,-3.406590636
12,2.447365797,2.290291972,0,5,7,0,0,0,8,16,-3.778015176
13,2.454647021,2.301322951,0,5,8,0,0,0,8,16,-3.686307696
14,2.458374426,2.284894602,0,5,9,0,0,0,8,16,-3.712901287
15,2.470949067,2.299386291,0,5,10,0,0,0,8,16,-3.630073941
16,2.478404774,2.295709763,0,4,11,1,0,0,8,16,-3.569521032
17,2.478051931,2.301971146,0,4,12,1,0,0,8,16,-3.511855018
18,2.474050726,2.298329662,0,4,13,1,0,0,8,16,-3.456453504
1,2.405523504,2.284529623,1,0,0,0,0,0,8,16,-2.631879771
2,2.426008184,2.288184951,1,0,1,0,0,0,8,16,-3.032508602
3,2.418687373,2.261908125,1,0,2,0,0,0,8,16,-3.251166766
4,2.413652161,2.259941811,2,0,2,0,0,0,8,16,-3.176518062
5,2.418072784,2.266881224,2,1,2,0,0,0,8,16,-3.346945159
6,2.420752902,2.254141851,2,1,3,0,0,0,8,16,-3.521806455
7,2.427727753,2.264189201,2,2,3,0,0,0,8,16,-3.525524991
8,2.444266334,2.272989314,2,2,4,0,0,0,8,16,-3.59944748
9,2.461660062,2.27634193,2,3,4,0,0,0,8,16,-3.57926616
10,2.46473885,2.297595618,2,3,5,0,0,0,8,16,-3.486383591
11,2.449853694,2.30379473,2,3,6,0,0,0,8,16,-3.481449676
12,2.447872004,2.291613585,3,3,6,0,0,0,8,16,-3.395208114
13,2.438814697,2.277258917,3,3,7,0,0,0,8,16,-3.425337877
14,2.442809316,2.277495151,3,3,8,0,0,0,8,16,-3.391711939
15,2.445842785,2.273253329,3,3,8,1,0,0,8,16,-3.359934698
16,2.457822845,2.267236541,3,3,9,1,0,0,8,16,-3.316739835
17,2.463470803,2.282714416,3,3,9,2,0,0,8,16,-3.284576222
18,2.489177435,2.296065618,3,3,10,2,0,0,8,16,-3.276896328
19,2.487343971,2.291444136,3,3,11,2,0,0,8,16,-3.264302937
20,2.491520572,2.310899267,3,3,12,2,0,0,8,16,-3.237047512
21,2.49961851,2.348788764,3,3,13,2,0,0,8,16,-3.235802666
22,2.495692167,2.351277098,3,4,13,2,0,0,8,16,-3.219758148
1,2.437286473,2.263379946,0,0,1,0,0,0,8,16,-3.626405766
2,2.436997399,2.261235969,1,0,1,0,0,0,8,16,-3.176999519
3,2.436067659,2.259195085,1,1,1,0,0,0,8,16,-3.41034502
4,2.443944709,2.273158105,1,2,1,0,0,0,8,16,-3.341014766
5,2.462498469,2.258501786,1,2,2,0,0,0,8,16,-3.524519066
6,2.459631502,2.256769111,1,3,2,0,0,0,8,16,-3.512824211
7,2.463676573,2.246617134,1,4,2,0,0,0,8,16,-3.496593921
8,2.463256619,2.249818238,2,3,3,0,0,0,8,16,-3.424443578
9,2.448135977,2.253522958,2,3,4,0,0,0,8,16,-3.451140751
10,2.463196647,2.267139013,2,4,4,0,0,0,8,16,-3.44887416
11,2.465105172,2.262067073,3,4,4,0,0,0,8,16,-3.419747003
12,2.467801373,2.256067362,2,5,5,0,0,0,8,16,-3.514937222
13,2.460679327,2.272498416,2,5,6,0,0,0,8,16,-3.509958316
14,2.479310168,2.252756029,2,5,6,1,0,0,8,16,-3.417289552
15,2.480647539,2.243135164,2,5,7,1,0,0,8,16,-3.381904615
16,2.482805664,2.258938849,2,4,9,1,0,0,8,16,-3.363000995
17,2.476647527,2.269845533,2,3,11,0,0,0,8,16,-3.326215412
18,2.479488816,2.276613506,2,4,11,0,0,0,8,16,-3.314983649
1,2.435955112,2.278183063,1,0,0,0,0,0,8,16,-2.423093884
2,2.427877607,2.275779863,1,1,0,0,0,0,8,16,-3.055078255
3,2.434766209,2.274460468,1,1,1,0,0,0,8,16,-3.291474486
4,2.435819343,2.292511745,2,1,1,0,0,0,8,16,-3.196052619
5,2.435825037,2.256719661,2,1,2,0,0,0,8,16,-3.293572598
